p01,-88,0130,141,2.1,154,303,-29
p01,A,0940,32,2.8,171,301,-26
p01,A,0950,30,2.1,171,301,-26
p01,A,1930,85,2.4,9,305,-28
p01,A,2130,28,1.8,161,305,-29
p01,-86,0000,54,1.7,45,304,-31
p01,A,0020,27,2.6,40,304,-31
p01,A,0030,22,2.3,27,303,-31
p01,A,0035,18,2.8,23,303,-31
p01,A,0130,14,2.3,30,302,-31
p01,A,0230,38,2.3,69,301,-31
p01,A,0940,43,2.2,93,300,-25
p01,A,0950,31,1.7,80,300,-25
p01,A,1900,56,1.6,151,308,-28
p01,A,1930,58,2.4,160,307,-28
p01,A,2000,45,1.6,156,307,-29
p01,A,2130,73,2.6,20,307,-30
p01,-85,0000,44,2.6,37,304,-32
p01,A,0020,15,3.0,12,304,-32
p01,A,0030,29,3.2,26,304,-32
p01,A,0050,6,2.5,11,303,-32
p01,A,0100,12,2.7,17,303,-32
p01,A,0130,17,2.1,30,302,-32
p01,A,0200,1,2.5,24,301,-32
p01,A,0230,8,2.1,39,301,-32
p01,A,0300,5,1.6,45,300,-32
p01,A,0500,108,1.6,179,298,-30
p01,A,0546,87,2.4,169,298,-29
p01,A,1900,65,2.2,159,309,-28
p01,A,2000,57,3.4,167,308,-29
p01,A,2100,72,3.0,5,308,-30
p01,A,2200,37,2.3,177,307,-31
p01,A,2230,17,2.2,165,306,-31
p01,A,2300,14,1.9,19,306,-32
p01,A,2320,14,1.7,14,305,-32
p01,A,2350,29,2.6,18,305,-32
p02,-84,0000,21,2.5,12,305,-33
p02,A,0020,21,3.6,18,304,-33
p02,A,0030,10,3.7,15,304,-33
p02,A,0040,12,3.2,25,303,-33
p02,A,0120,11,2.2,24,302,-33
p02,A,0130,175,1.6,12,302,-33
p02,A,0140,0,1.6,19,301,-33
p02,A,0230,2,1.6,34,300,-33
p02,A,0940,38,2.1,178,298,-23
p02,A,0950,37,1.8,179,298,-23
p02,A,1050,20,2.2,177,300,-22
p02,A,1900,46,1.6,140,310,-28
p02,A,1920,55,2.8,154,310,-28
p02,A,1930,78,3.3,0,310,-28
p02,A,2030,75,3.1,12,309,-30
p02,A,2130,15,2.0,147,308,-31
p02,A,2230,19,2.4,166,307,-32
p02,A,2300,10,2.4,167,306,-33
p02,A,2345,176,2.4,163,305,-33
p02,-83,0000,20,2.8,11,305,-34
p02,A,0030,1,2.3,178,304,-34
p02,A,0050,165,2.9,170,303,-34
p02,A,0100,168,2.0,170,303,-34
p02,A,1900,48,1.6,143,311,-28
p02,A,2000,75,2.4,4,311,-29
p02,A,2310,177,2.2,144,307,-34
p02,A,2324,0,2.4,28,306,-34
p02,A,2340,177,1.7,20,306,-34
p02,-82,0000,45,1.6,38,305,-35
p02,A,0030,179,1.8,4,304,-35
p02,A,0100,155,1.8,160,303,-35
p02,A,0130,8,1.6,21,301,-35
p02,A,1135,16,1.8,3,300,-20
p02,A,1320,4,1.7,1,304,-19
p02,A,1920,57,2.8,155,312,-28
p02,A,1930,66,3.0,167,312,-28
p02,A,2000,71,2.4,179,312,-30
p02,A,2030,70,4.0,5,311,-30
p02,A,2100,18,2.2,142,311,-32
p02,A,2130,19,2.6,149,310,-32
p02,A,2230,26,1.7,173,309,-34
p02,A,2300,35,1.8,10,307,-34
p03,-81,0030,2,1.8,179,304,-36
p03,A,0050,33,1.8,38,303,-36
p03,A,0120,30,2.2,43,302,-36
p03,A,2300,44,2.3,19,308,-35
p03,A,2315,33,2.1,12,308,-36
p03,A,2340,176,1.8,161,306,-36
p03,-80,0000,13,1.6,4,306,-37
p03,A,0020,6,2.1,3,305,-37
p03,A,0030,22,1.6,27,304,-37
p03,A,0050,19,2.0,24,303,-37
p03,A,0100,20,1.6,25,302,-37
p03,A,0110,5,2.2,10,302,-37
p03,A,0130,10,2.3,27,301,-37
p03,A,0300,154,2.3,15,296,-36
p03,A,0400,157,2.0,24,294,-34
p03,A,0500,111,2.3,4,293,-32
p03,A,0815,116,2.6,5,293,-23
p03,A,1400,39,2.1,60,306,-18
p03,A,1440,16,1.7,47,308,-18
p03,A,1800,97,2.1,174,314,-25
p03,A,1930,80,2.7,179,314,-29
p03,A,2000,74,2.8,1,314,-30
p03,A,2015,59,3.2,169,314,-31
p03,A,2030,65,5.1,179,314,-31
p03,A,2100,46,3.7,168,313,-32
p03,A,2130,20,2.5,150,312,-33
p03,A,2200,27,2.3,166,311,-35
p03,A,2230,22,2.6,167,310,-35
p03,A,2240,10,1.7,159,310,-36
p03,A,2300,16,1.6,170,309,-36
p03,A,2330,10,2.4,172,307,-37
p03,-79,0000,29,2.1,20,306,-38
p03,A,0010,28,2.1,169,305,-38
p03,A,2315,31,1.6,8,309,-37
p03,A,2330,34,2.9,16,308,-38
p03,A,2340,8,1.8,173,307,-38
p04,-78,0000,28,1.8,19,306,-39
p04,A,0010,25,2.3,18,306,-39
p04,A,0020,175,2.0,172,305,-39
p04,A,0030,170,2.2,175,304,-39
p04,A,0040,17,1.9,22,304,-39
